"rfid","dames","sires"
"933000320047138","73207_2","73171_1"
"933000320047486","73511_1","73512_1"
"933000320047115","73399_1","73228_1"
"933000320047119","73187_2","73379_2"
"933000320047480","73195_2","73187_1"
"933000320047112","73435_1","73283_1"
"933000320047384","73875_2","73858_1"
"933000320047257","73382_2","73229_1"
"933000320047001","73743_2","73666_1"
"933000320047489","73224_2","73223_1"
"933000320046912","73189_2","73207_1"
"933000320047458","73437_1","73378_2"
"933000320047383","73767_2","73691_1"
"933000320047593","73691_2","73723_1"
"933000320047037","74156_2","74198_1"
"933000320047381","73875_2","73858_1"
"933000320047387","73875_2","73858_1"
"933000320047107","73399_1","73228_1"
"933000320046802","73727_2","73676_1"
"933000320047002","73728_2","73782_1"
"933000320047596","73690_2","73672_1"
"933000320047284","73188_2","73435_2"
"933000320047046","73731_2","73744_1"
"933000320047586","73674_2","73688_1"
"933000320047128","73169_2","73398_2"
"933000320047017","73743_2","73666_1"
"933000320047004","73743_2","73666_1"
"933000320047172","74196_2","74113_1"
"933000320046908","73229_2","73436_2"
"933000320047289","73731_2","73744_1"
"933000320047598","73691_2","73723_1"
"933000320047049","73745_2","73704_1"
"933000320047120","73435_1","73283_1"
"933000320047339","73727_2","73676_1"
"933000320047340","74136_2","74208_1"
"933000320047452","73437_1","73378_2"
"933000320046840","73687_2","73736_1"
"933000320047165","74121_2","74196_1"
"933000320046814","73666_2","73719_1"
"933000320047468","73411_1","73198_1"
"933000320047451","73411_1","73198_1"
"933000320047580","73666_2","73719_1"
"933000320047019","73743_2","73666_1"
"933000320047018","74121_2","74196_1"
"933000320047171","73671_2","73742_1"
"933000320046914","73229_2","73436_2"
"933000320046804","74207_2","74142_1"
"933000320047600","73674_2","73688_1"
"933000320047006","73728_2","73782_1"
"933000320047342","73770_2","73669_1"
"933000320047337","73744_2","73734_2"
"933000320047341","73727_2","73676_1"
"933000320047584","73690_2","73672_1"
"933000320047348","73770_2","73669_1"
"933000320047376","73767_2","73691_1"
"933000320046921","73227_1","73439_2"
"933000320047162","73671_2","73742_1"
"933000320047113","73187_2","73379_2"
"933000320047581","73690_2","73672_1"
"933000320047333","73727_2","73676_1"
"933000320047350","73669_2","73747_1"
"933000320046806","73666_2","73719_1"
"933000320047595","73690_2","73672_1"
"933000320046812","73732_2","73686_1"
"933000320047327","73744_2","73734_2"
"933000320046823","73666_2","73719_1"
"933000320047139","73207_2","73171_1"
"933000320047583","74232_2","73672_1"
"933000320047330","73669_2","73747_1"
"933000320046841","73687_2","73736_1"
"933000320047040","73731_2","73744_1"
"933000320047166","74121_2","74196_1"
"933000320047582","73690_2","73672_1"
"933000320047454","73379_1","73438_2"
"933000320047045","73669_2","73747_1"
"933000320047023","73728_2","73782_1"
"933000320046848","73671_2","73742_1"
"933000320047011","73743_2","73666_1"
"933000320047336","73770_2","73669_1"
"933000320047346","73770_2","73669_1"
"933000320046842","73687_2","73736_1"
"933000320047294","73188_2","73435_2"
"933000320047592","73674_2","73688_1"
"933000320046818","73666_2","73719_1"
"933000320047164","74121_2","74196_1"
"933000320047154","74196_2","74113_1"
"933000320047169","73671_2","73742_1"
"933000320046833","73672_2","73697_1"
"933000320047152","74196_2","74113_1"
"933000320046822","73732_2","73686_1"
"933000320046832","73672_2","73697_1"
"933000320047332","73706_2","73668_1"
