rfid,demux_reads,mapped_read_pairs,unmapped_reads_ratio,duplication_ratio,uniq_mapped_ratio,QC_reads,QC_sex,date,file_location,missing_rate,QC_missing,heterozygosity_rate,QC_heterozygosity,coatcolor,QC_coat_color_albino,QC_pass
933000320046067,3542106,3463268,0.0133536376381734,0.093125,0.80205730715004,pass,pass,01202021,/projects/ps-palmer/hs_rats/201218_A00953_0203_BHN5HYDSXY/beagle/hs_rats_n1912_01082021_beagle.vcf.gz,0.0622922,pass,0.308081545806982,pass,BROWN,pass,pass
933000320046068,3521284,3445531,0.0131301536598582,0.063411,0.803588974930735,pass,pass,01202021,/projects/ps-palmer/hs_rats/201218_A00953_0203_BHN5HYDSXY/beagle/hs_rats_n1912_01082021_beagle.vcf.gz,0.0580628,pass,0.305189191907534,pass,BROWNHOOD,pass,pass
933000320046069,1171226,1142910,0.0151345683924366,0.062992,0.782984240445482,pass,pass,01202021,/projects/ps-palmer/hs_rats/201218_A00953_0203_BHN5HYDSXY/beagle/hs_rats_n1912_01082021_beagle.vcf.gz,0.0892281,pass,0.332261457467838,pass,ALBINO,pass,pass
933000320046070,4455401,4360863,0.0127406040443947,0.092194,0.809382140911671,pass,pass,01202021,/projects/ps-palmer/hs_rats/201218_A00953_0203_BHN5HYDSXY/beagle/hs_rats_n1912_01082021_beagle.vcf.gz,0.0534728,pass,0.325458887305011,pass,BLACKHOOD,pass,pass
933000320046071,1998629,1954971,0.0133086230611084,0.067727,0.780534806609931,pass,pass,01202021,/projects/ps-palmer/hs_rats/201218_A00953_0203_BHN5HYDSXY/beagle/hs_rats_n1912_01082021_beagle.vcf.gz,0.0721873,pass,0.271046365792545,pass,BLACKHOOD,pass,pass
933000320046072,3399308,3317288,0.0147381467051529,0.092157,0.803028586994765,pass,pass,01202021,/projects/ps-palmer/hs_rats/201218_A00953_0203_BHN5HYDSXY/beagle/hs_rats_n1912_01082021_beagle.vcf.gz,0.0602028,pass,0.310793314822982,pass,BROWN,pass,pass
933000320046073,1340952,1311010,0.0138513533668618,0.062226,0.788448430667168,pass,pass,01202021,/projects/ps-palmer/hs_rats/201218_A00953_0203_BHN5HYDSXY/beagle/hs_rats_n1912_01082021_beagle.vcf.gz,0.0826194,pass,0.304415790947945,pass,ALBINO,pass,pass
933000320046074,1170333,1147705,0.0115232160419299,0.091347,0.783373193783308,pass,pass,01202021,/projects/ps-palmer/hs_rats/201218_A00953_0203_BHN5HYDSXY/beagle/hs_rats_n1912_01082021_beagle.vcf.gz,0.0851989,pass,0.34045653018223,pass,BROWNHOOD,pass,pass
933000320046075,4892990,4802883,0.0111232600107501,0.092835,0.805404568576678,pass,pass,01202021,/projects/ps-palmer/hs_rats/201218_A00953_0203_BHN5HYDSXY/beagle/hs_rats_n1912_01082021_beagle.vcf.gz,0.0507789,pass,0.31412938869415,pass,ALBINO,pass,pass
933000320046078,1640061,1614283,0.00953714526471881,0.11403,0.807360214040819,pass,pass,01202021,/projects/ps-palmer/hs_rats/201218_A00953_0203_BHN5HYDSXY/beagle/hs_rats_n1912_01082021_beagle.vcf.gz,0.0757164,pass,0.333318421894763,pass,ALBINO,pass,pass
933000320046080,1255453,1226238,0.0136321311908928,0.092049,0.777027096992082,pass,pass,01202021,/projects/ps-palmer/hs_rats/201218_A00953_0203_BHN5HYDSXY/beagle/hs_rats_n1912_01082021_beagle.vcf.gz,0.08671,pass,0.316536604670592,pass,BLACKHOOD,pass,pass
933000320046086,6919188,6811293,0.00940384912218023,0.117636,0.820117259424083,pass,pass,01202021,/projects/ps-palmer/hs_rats/201218_A00953_0203_BHN5HYDSXY/beagle/hs_rats_n1912_01082021_beagle.vcf.gz,0.0464719,pass,0.316324045015399,pass,BLACKHOOD,pass,pass
933000320046088,4156492,4098104,0.00845881575135956,0.117109,0.788023169538159,pass,pass,01202021,/projects/ps-palmer/hs_rats/201218_A00953_0203_BHN5HYDSXY/beagle/hs_rats_n1912_01082021_beagle.vcf.gz,0.0549086,pass,0.312415950913003,pass,BLACKHOOD,pass,pass
933000320046089,4070064,3985509,0.0121414552694994,0.094592,0.814104151679187,pass,pass,01202021,/projects/ps-palmer/hs_rats/201218_A00953_0203_BHN5HYDSXY/beagle/hs_rats_n1912_01082021_beagle.vcf.gz,0.055529,pass,0.314744945496578,pass,BROWNHOOD,pass,pass
933000320046092,8998014,8859411,0.00926121030707443,0.118529,0.832034991276964,pass,pass,01202021,/projects/ps-palmer/hs_rats/201218_A00953_0203_BHN5HYDSXY/beagle/hs_rats_n1912_01082021_beagle.vcf.gz,0.0452711,pass,0.30810525739168,pass,BLACKHOOD,pass,pass
933000320046093,1836297,1803386,0.010640163328699,0.115436,0.795792020571836,pass,pass,01202021,/projects/ps-palmer/hs_rats/201218_A00953_0203_BHN5HYDSXY/beagle/hs_rats_n1912_01082021_beagle.vcf.gz,0.0753257,pass,0.324832673042654,pass,BROWNHOOD,pass,pass
933000320046095,4733286,4637052,0.0119089571177402,0.093403,0.830860632549987,pass,pass,01202021,/projects/ps-palmer/hs_rats/201218_A00953_0203_BHN5HYDSXY/beagle/hs_rats_n1912_01082021_beagle.vcf.gz,0.0510569,pass,0.31275270763291,pass,BLACKHOOD,pass,pass
933000320046099,6643613,6544215,0.00903935855384713,0.116879,0.824968206305816,pass,pass,01202021,/projects/ps-palmer/hs_rats/201218_A00953_0203_BHN5HYDSXY/beagle/hs_rats_n1912_01082021_beagle.vcf.gz,0.0494117,pass,0.305502768444057,pass,ALBINO,pass,pass
933000320046100,2324730,2275929,0.0122895992222753,0.091924,0.79168892731629,pass,pass,01202021,/projects/ps-palmer/hs_rats/201218_A00953_0203_BHN5HYDSXY/beagle/hs_rats_n1912_01082021_beagle.vcf.gz,0.0680653,pass,0.310717386908561,pass,BLACKHOOD,pass,pass
933000320046127,2439601,2402659,0.00904984052720097,0.115233,0.804552465751572,pass,pass,01202021,/projects/ps-palmer/hs_rats/201218_A00953_0203_BHN5HYDSXY/beagle/hs_rats_n1912_01082021_beagle.vcf.gz,0.0637831,pass,0.333933277957863,pass,ALBINO,pass,pass
933000320046128,1260209,1234807,0.0118111360893312,0.089921,0.800356528163186,pass,pass,01202021,/projects/ps-palmer/hs_rats/201218_A00953_0203_BHN5HYDSXY/beagle/hs_rats_n1912_01082021_beagle.vcf.gz,0.0806702,pass,0.29072437966452,pass,BROWNHOOD,pass,pass
933000320046131,5130054,5058057,0.00841940455207684,0.114719,0.792334837021209,pass,pass,01202021,/projects/ps-palmer/hs_rats/201218_A00953_0203_BHN5HYDSXY/beagle/hs_rats_n1912_01082021_beagle.vcf.gz,0.0528708,pass,0.320480272592341,pass,BLACKHOOD,pass,pass
933000320046133,1957713,1908853,0.0146280379197564,0.090081,0.791606073004572,pass,pass,01202021,/projects/ps-palmer/hs_rats/201218_A00953_0203_BHN5HYDSXY/beagle/hs_rats_n1912_01082021_beagle.vcf.gz,0.0753832,pass,0.318271083728787,pass,ALBINO,pass,pass
933000320046134,3748590,3670110,0.0121381639496451,0.092879,0.826197717008262,pass,pass,01202021,/projects/ps-palmer/hs_rats/201218_A00953_0203_BHN5HYDSXY/beagle/hs_rats_n1912_01082021_beagle.vcf.gz,0.0555464,pass,0.319103286435411,pass,BLACKHOOD,pass,pass
933000320046135,5388368,5297075,0.0102236892506228,0.11787,0.808170395934353,pass,pass,01202021,/projects/ps-palmer/hs_rats/201218_A00953_0203_BHN5HYDSXY/beagle/hs_rats_n1912_01082021_beagle.vcf.gz,0.0521622,pass,0.29998281023161,pass,BROWN,pass,pass
933000320046142,2619363,2569330,0.0110811292669248,0.088207,0.796247980902227,pass,pass,01202021,/projects/ps-palmer/hs_rats/201218_A00953_0203_BHN5HYDSXY/beagle/hs_rats_n1912_01082021_beagle.vcf.gz,0.063996,pass,0.317779139824537,pass,BROWN,pass,pass
933000320046143,4529325,4449404,0.0105626114266475,0.11862,0.815297091730004,pass,pass,01202021,/projects/ps-palmer/hs_rats/201218_A00953_0203_BHN5HYDSXY/beagle/hs_rats_n1912_01082021_beagle.vcf.gz,0.0594104,pass,0.318766686727513,pass,BROWNHOOD,pass,pass
933000320046144,2321128,2286578,0.00889395156148218,0.11472,0.80407177027721,pass,pass,01202021,/projects/ps-palmer/hs_rats/201218_A00953_0203_BHN5HYDSXY/beagle/hs_rats_n1912_01082021_beagle.vcf.gz,0.0660982,pass,0.307700638517816,pass,BLACKHOOD,pass,pass
933000320046145,1772396,1735033,0.012692987345943,0.089863,0.801653806485684,pass,pass,01202021,/projects/ps-palmer/hs_rats/201218_A00953_0203_BHN5HYDSXY/beagle/hs_rats_n1912_01082021_beagle.vcf.gz,0.0743728,pass,0.308336045799188,pass,BLACK,pass,pass
933000320046148,2097365,2068657,0.00824701470654846,0.115045,0.794641133040744,pass,pass,01202021,/projects/ps-palmer/hs_rats/201218_A00953_0203_BHN5HYDSXY/beagle/hs_rats_n1912_01082021_beagle.vcf.gz,0.0699851,pass,0.314225982338929,pass,BROWNHOOD,pass,pass
933000320046149,1452789,1420520,0.0131787892116474,0.089126,0.798076320787121,pass,pass,01202021,/projects/ps-palmer/hs_rats/201218_A00953_0203_BHN5HYDSXY/beagle/hs_rats_n1912_01082021_beagle.vcf.gz,0.0787442,pass,0.302811672071944,pass,BLACKHOOD,pass,pass
933000320046151,2958234,2914074,0.00919044943706279,0.081265,0.823676220339567,pass,pass,01202021,/projects/ps-palmer/hs_rats/201218_A00953_0203_BHN5HYDSXY/beagle/hs_rats_n1912_01082021_beagle.vcf.gz,0.0550283,pass,0.316262642653566,pass,BROWN,pass,pass
933000320046152,3069808,3024605,0.0092232152629741,0.084762,0.813461623658548,pass,pass,01202021,/projects/ps-palmer/hs_rats/201218_A00953_0203_BHN5HYDSXY/beagle/hs_rats_n1912_01082021_beagle.vcf.gz,0.0544142,pass,0.33441519034651,pass,BLACKHOOD,pass,pass
933000320046153,1519730,1493443,0.0107111131582584,0.087974,0.79031702999875,pass,pass,01202021,/projects/ps-palmer/hs_rats/201218_A00953_0203_BHN5HYDSXY/beagle/hs_rats_n1912_01082021_beagle.vcf.gz,0.072023,pass,0.300380929912839,pass,BLACKHOOD,pass,pass
933000320046154,863267,847232,0.0118601776738831,0.085132,0.780837794100782,reject,pass,01202021,/projects/ps-palmer/hs_rats/201218_A00953_0203_BHN5HYDSXY/beagle/hs_rats_n1912_01082021_beagle.vcf.gz,0.0878058,pass,0.314730745947247,pass,BROWNHOOD,pass,reject
933000320046155,2864284,2809750,0.0115171889379684,0.085045,0.819132460328655,pass,pass,01202021,/projects/ps-palmer/hs_rats/201218_A00953_0203_BHN5HYDSXY/beagle/hs_rats_n1912_01082021_beagle.vcf.gz,0.0582765,pass,0.32198616861689,pass,ALBINO,pass,pass
933000320046157,1932897,1887743,0.0142159670173838,0.083726,0.802962082304437,pass,pass,01202021,/projects/ps-palmer/hs_rats/201218_A00953_0203_BHN5HYDSXY/beagle/hs_rats_n1912_01082021_beagle.vcf.gz,0.0699449,pass,0.316750092076856,pass,BROWN,pass,pass
