"rfid","sex","coatcolor","project_name","organism","strain","comments"
"000792A29D","F","ALBINO","p50_hao_chen_2014","rat","Heterogenous stock","NA"
"000792A2A4","M","BROWN","p50_hao_chen_2014","rat","Heterogenous stock","NA"
"000792A2B8","M","BLACK","p50_hao_chen_2014","rat","Heterogenous stock","NA"
"000792A322","M","BROWN","p50_hao_chen_2014","rat","Heterogenous stock","NA"
"000792A33F","M","ALBINO","p50_hao_chen_2014","rat","Heterogenous stock","NA"
"000792A347","M","BLACK","p50_hao_chen_2014","rat","Heterogenous stock","NA"
"000792A391","M","BROWNHOOD","p50_hao_chen_2014","rat","Heterogenous stock","NA"
"000792A393","M","ALBINO","p50_hao_chen_2014","rat","Heterogenous stock","NA"
"000792A3A6","F","BLACKHOOD","p50_hao_chen_2014","rat","Heterogenous stock","NA"
"000792A3EF","F","BLACKHOOD","p50_hao_chen_2014","rat","Heterogenous stock","NA"
"000792A5C9","M","BROWNHOOD","p50_hao_chen_2014","rat","Heterogenous stock","NA"
"000792A5ED","F","BROWNHOOD","p50_hao_chen_2014","rat","Heterogenous stock","NA"
"000792A6B3","F","BROWN","p50_hao_chen_2014","rat","Heterogenous stock","NA"
"00079FB269","M","BROWNHOOD","p50_hao_chen_2014","rat","Heterogenous stock","NA"
"00079FD00D","F","BROWNHOOD","p50_hao_chen_2014","rat","Heterogenous stock","NA"
"00079FE64A","M","BROWN","p50_hao_chen_2014","rat","Heterogenous stock","NA"
"00079FFEA7","F","BROWN","p50_hao_chen_2014","rat","Heterogenous stock","NA"
"0007A01406","M","BLACKHOOD","p50_hao_chen_2014","rat","Heterogenous stock","NA"
"0007A0153B","F","BLACKHOOD","p50_hao_chen_2014","rat","Heterogenous stock","NA"
"0007D2CD05","M","BLACK","p50_hao_chen_2014","rat","Heterogenous stock","NA"
"0007D2D146","F","BLACKHOOD","p50_hao_chen_2014","rat","Heterogenous stock","NA"
"0007D2DFF4","M","BROWN","p50_hao_chen_2014","rat","Heterogenous stock","NA"
"0007D30D95","F","BROWNHOOD","p50_hao_chen_2014","rat","Heterogenous stock","NA"
"0007D3138C","F","BROWNHOOD","p50_hao_chen_2014","rat","Heterogenous stock","NA"
"0007D3D938","M","BLACKHOOD","p50_hao_chen_2014","rat","Heterogenous stock","NA"
"0007D48080","F","BLACK","p50_hao_chen_2014","rat","Heterogenous stock","NA"
"0007D601AF","F","BLACK","p50_hao_chen_2014","rat","Heterogenous stock","NA"
"0007D60399","F","BROWNHOOD","p50_hao_chen_2014","rat","Heterogenous stock","NA"
"0007D60648","F","BLACKHOOD","p50_hao_chen_2014","rat","Heterogenous stock","NA"
"0007D60ADB","F","BROWNHOOD","p50_hao_chen_2014","rat","Heterogenous stock","NA"
"0007D60B77","F","ALBINO","p50_hao_chen_2014","rat","Heterogenous stock","NA"
"0007D60F60","F","BLACK","p50_hao_chen_2014","rat","Heterogenous stock","NA"
"0007D610E9","F","BLACK","p50_hao_chen_2014","rat","Heterogenous stock","NA"
"84","M","NA","u01_huda_akil","rat","Sprague Dawley","NA"
"85","M","NA","u01_huda_akil","rat","Sprague Dawley","NA"
"1DCD18C6","F","BLACKHOOD","p50_jerry_richards_2020","rat","Heterogenous stock","NA"
"1DCD18B4","F","ALBINO","p50_jerry_richards_2020","rat","Heterogenous stock","NA"
"1DCD18C9","F","BLACK","p50_jerry_richards_2020","rat","Heterogenous stock","NA"
"1DCD188C","F","BROWN","p50_jerry_richards_2020","rat","Heterogenous stock","NA"
"1DCD189D","F","BLACK","p50_jerry_richards_2020","rat","Heterogenous stock","NA"
"1DCD18C8","F","ALBINO","p50_jerry_richards_2020","rat","Heterogenous stock","NA"
"1DCD18D6","F","BLACKHOOD","p50_jerry_richards_2020","rat","Heterogenous stock","NA"
"1DCD18D3","F","BROWN","p50_jerry_richards_2020","rat","Heterogenous stock","NA"
"1DCD18D2","F","ALBINO","p50_jerry_richards_2020","rat","Heterogenous stock","NA"
"1DCD18C5","F","BLACK","p50_jerry_richards_2020","rat","Heterogenous stock","NA"
"1DCD18C2","F","ALBINO","p50_jerry_richards_2020","rat","Heterogenous stock","NA"
"1DCD18A5","F","BLACKHOOD","p50_jerry_richards_2020","rat","Heterogenous stock","NA"
"1DCD18B1","F","ALBINO","p50_jerry_richards_2020","rat","Heterogenous stock","NA"
"1DCD189E","F","BLACKHOOD","p50_jerry_richards_2020","rat","Heterogenous stock","NA"
"1DCD18CB","F","BROWNHOOD","p50_jerry_richards_2020","rat","Heterogenous stock","NA"
"1DCD1888","F","ALBINO","p50_jerry_richards_2020","rat","Heterogenous stock","NA"
"1DCD1878","F","BROWNHOOD","p50_jerry_richards_2020","rat","Heterogenous stock","NA"
"1DCD18A0","F","BROWN","p50_jerry_richards_2020","rat","Heterogenous stock","NA"
"1DCD18CD","F","BLACKHOOD","p50_jerry_richards_2020","rat","Heterogenous stock","NA"
"1DCD1937","F","BLACK","p50_jerry_richards_2020","rat","Heterogenous stock","NA"
"1DCD1926","F","BROWNHOOD","p50_jerry_richards_2020","rat","Heterogenous stock","NA"
"1DCD18DB","F","BROWN","p50_jerry_richards_2020","rat","Heterogenous stock","NA"
"1DCD191A","F","ALBINO","p50_jerry_richards_2020","rat","Heterogenous stock","NA"
"1DCD1900","F","BLACKHOOD","p50_jerry_richards_2020","rat","Heterogenous stock","NA"
"1DCD18F8","F","BLACKHOOD","p50_jerry_richards_2020","rat","Heterogenous stock","NA"
"1DCD18F4","F","ALBINO","p50_jerry_richards_2020","rat","Heterogenous stock","NA"
"1DCD18E7","F","BROWNHOOD","p50_jerry_richards_2020","rat","Heterogenous stock","NA"
"1DCD1928","F","BROWNHOOD","p50_jerry_richards_2020","rat","Heterogenous stock","NA"
"1DCD18F2","F","BROWN","p50_jerry_richards_2020","rat","Heterogenous stock","NA"
"1DCD18EF","F","BLACK","p50_jerry_richards_2020","rat","Heterogenous stock","NA"
"1DCD1930","F","BLACKHOOD","p50_jerry_richards_2020","rat","Heterogenous stock","NA"
"1DCD18E6","F","BROWN","p50_jerry_richards_2020","rat","Heterogenous stock","NA"
"1DCD1925","F","ALBINO","p50_jerry_richards_2020","rat","Heterogenous stock","NA"
"86","M","NA","u01_huda_akil","rat","Sprague Dawley","NA"
"1DCD6E13","F","ALBINO","p50_hao_chen_2020","rat","Heterogenous stock","NA"
"3B9ACFD0","M","BROWN","p50_hao_chen_2020","rat","Heterogenous stock","NA"
"3B9ACF8B","M","BLACKHOOD","p50_hao_chen_2020","rat","Heterogenous stock","NA"
"3B9ACFD6","M","BLACKHOOD","p50_hao_chen_2020","rat","Heterogenous stock","NA"
"3B9ACFCB","M","BROWN","p50_hao_chen_2020","rat","Heterogenous stock","NA"
"3B9ACF9F","M","ALBINO","p50_hao_chen_2020","rat","Heterogenous stock","NA"
"3B9ACFB0","M","BLACKHOOD","p50_hao_chen_2020","rat","Heterogenous stock","NA"
"3B9ACFA6","M","BLACK","p50_hao_chen_2020","rat","Heterogenous stock","NA"
"3B9ACFCE","M","BROWNHOOD","p50_hao_chen_2020","rat","Heterogenous stock","NA"
"3B9ACFC5","M","BROWN","p50_hao_chen_2020","rat","Heterogenous stock","NA"
"3B9ACF81","M","BLACK","p50_hao_chen_2020","rat","Heterogenous stock","NA"
"3B9ACFB9","F","BLACKHOOD","p50_hao_chen_2020","rat","Heterogenous stock","NA"
"3B9ACFBF","F","BLACK","p50_hao_chen_2020","rat","Heterogenous stock","NA"
"3B9ACFAC","F","BROWN","p50_hao_chen_2020","rat","Heterogenous stock","NA"
"3B9ACFCD","F","BROWN","p50_hao_chen_2020","rat","Heterogenous stock","NA"
"3B9ACFC0","F","BLACKHOOD","p50_hao_chen_2020","rat","Heterogenous stock","NA"
"3B9ACFB1","F","BLACK","p50_hao_chen_2020","rat","Heterogenous stock","NA"
"3B9ACF92","F","BROWNHOOD","p50_hao_chen_2020","rat","Heterogenous stock","NA"
"3B9ACFC6","F","BROWNHOOD","p50_hao_chen_2020","rat","Heterogenous stock","NA"
"3B9ACFA2","F","BROWN","p50_hao_chen_2020","rat","Heterogenous stock","NA"
"3B9ACFD5","F","BROWNHOOD","p50_hao_chen_2020","rat","Heterogenous stock","NA"
"1DCD6E05","M","BLACK","p50_hao_chen_2020","rat","Heterogenous stock","NA"
"1DCD6DD8","M","BLACKHOOD","p50_hao_chen_2020","rat","Heterogenous stock","NA"
"1DCD6E0E","M","BLACKHOOD","p50_hao_chen_2020","rat","Heterogenous stock","NA"
"1DCD6DF1","M","BROWN","p50_hao_chen_2020","rat","Heterogenous stock","NA"
"1DCD6DFE","M","BLACK","p50_hao_chen_2020","rat","Heterogenous stock","NA"
"1DCD6DF4","M","BLACKHOOD","p50_hao_chen_2020","rat","Heterogenous stock","NA"
"1DCD6E2E","M","BROWNHOOD","p50_hao_chen_2020","rat","Heterogenous stock","NA"
"1DCD6E24","M","ALBINO","p50_hao_chen_2020","rat","Heterogenous stock","NA"
"1DCD6E32","M","ALBINO","p50_hao_chen_2020","rat","Heterogenous stock","NA"
"1DCD6E12","M","BROWNHOOD","p50_hao_chen_2020","rat","Heterogenous stock","NA"
"1DCD6E09","M","BLACK","p50_hao_chen_2020","rat","Heterogenous stock","NA"
"1DCD6E3A","M","BROWNHOOD","p50_hao_chen_2020","rat","Heterogenous stock","NA"
"1DCD6E1E","M","BROWN","p50_hao_chen_2020","rat","Heterogenous stock","NA"
"1DCD6DE2","M","BROWNHOOD","p50_hao_chen_2020","rat","Heterogenous stock","NA"
"1DCD6E30","M","BLACK","p50_hao_chen_2020","rat","Heterogenous stock","NA"
"1DCD6E36","M","ALBINO","p50_hao_chen_2020","rat","Heterogenous stock","NA"
"1DCD6E0F","M","ALBINO","p50_hao_chen_2020","rat","Heterogenous stock","NA"
"1DCD6E22","M","BROWN","p50_hao_chen_2020","rat","Heterogenous stock","NA"
"1DCD6DE6","M","ALBINO","p50_hao_chen_2020","rat","Heterogenous stock","NA"
"1DCD6DEC","M","BROWNHOOD","p50_hao_chen_2020","rat","Heterogenous stock","NA"
"1DCD6DFD","M","BLACK","p50_hao_chen_2020","rat","Heterogenous stock","NA"
"1DCD6E21","M","ALBINO","p50_hao_chen_2020","rat","Heterogenous stock","NA"
"1DCD6DF0","M","BLACKHOOD","p50_hao_chen_2020","rat","Heterogenous stock","NA"
"1DCD6E04","M","ALBINO","p50_hao_chen_2020","rat","Heterogenous stock","NA"
"1DCD6E18","M","BLACK","p50_hao_chen_2020","rat","Heterogenous stock","NA"
