"rfid","sex","coatcolor"
"00077E93C6","F","BLACKHOOD"
"00077E9490","F","ALBINO"
"00077E9968","F","BROWN"
"00077E99F4","F","BLACKHOOD"
"00077E9B87","F","BROWNHOOD"
"00077E9BF2","F","BROWNHOOD"
"00077E9DE8","F","BLACK"
"00077E9E2F","F","BLACK"
"00077E9E72","F","ALBINO"
"00077EA00B","F","BROWNHOOD"
"00078996AC","M","BROWN"
"0007899771","F","BROWN"
"00078997D8","F","ALBINO"
"00078997E1","M","BROWN"
"0007899825","F","BROWN"
"0007899868","M","BROWNHOOD"
"0007899897","F","ALBINO"
"0007899931","M","BLACK"
"000789993E","M","ALBINO"
"000792994E","F","BLACKHOOD"
"0007929A41","M","BLACK"
"0007929A91","F","BROWNHOOD"
"000792A09B","F","BROWN"
"000792A0FB","F","BROWN"
"000792A25F","M","BROWNHOOD"
"000792A29D","F","ALBINO"
"000792A2A4","M","BROWN"
"000792A2B8","M","BLACK"
"000792A322","M","BROWN"
"000792A33F","M","ALBINO"
"000792A347","M","BLACK"
"000792A391","M","BROWNHOOD"
"000792A393","M","ALBINO"
"000792A3A6","F","BLACKHOOD"
"000792A3EF","F","BLACKHOOD"
"000792A5C9","M","BROWNHOOD"
"000792A5ED","F","BROWNHOOD"
"000792A6B3","F","BROWN"
"00079FB269","M","BROWNHOOD"
"00079FD00D","F","BROWNHOOD"
"00079FE64A","M","BROWN"
"00079FFEA7","F","BROWN"
"0007A01406","M","BLACKHOOD"
"0007A0153B","F","BLACKHOOD"
"0007D2CD05","M","BLACK"
"0007D2D146","F","BLACKHOOD"
"0007D2DFF4","M","BROWN"
"0007D30D95","F","BROWNHOOD"
"0007D3138C","F","BROWNHOOD"
"0007D3D938","M","BLACKHOOD"
"0007D48080","F","BLACK"
"0007D601AF","F","BLACK"
"0007D60399","F","BROWNHOOD"
"0007D60648","F","BLACKHOOD"
"0007D60ADB","F","BROWNHOOD"
"0007D60B77","F","ALBINO"
"0007D60F60","F","BLACK"
"0007D610E9","F","BLACK"
"84","M","NA"
"1DCD1764","M","BROWNHOOD"
"1DCD1750","M","ALBINO"
"1DCD1769","M","BROWN"
"1DCD17A6","M","BLACK"
"1DCD1775","M","ALBINO"
"1DCD1792","M","BROWN"
"1DCD176C","M","BROWNHOOD"
"1DCD1776","M","BLACK"
"1DCD1784","M","BLACK"
"1DCD1762","M","ALBINO"
"1DCD176E","M","BROWN"
"1DCD178C","M","BROWNHOOD"
"1DCD1790","M","BLACKHOOD"
"1DCD174A","M","ALBINO"
"1DCD1771","M","ALBINO"
"1DCD1781","M","BLACKHOOD"
"1DCD178D","M","BROWN"
"1DCD176A","M","BROWNHOOD"
"1DCD176B","M","BLACK"
"1DCD1765","M","BROWNHOOD"
"1DCD174D","M","ALBINO"
"1DCD1794","M","BLACK"
"1DCD175F","M","BROWN"
"1DCD1756","M","BROWNHOOD"
"1DCD1761","M","BLACKHOOD"
"1DCD1763","M","BLACKHOOD"
"1DCD1779","M","BLACK"
"1DCD17A1","M","BROWN"
"1DCD177B","M","ALBINO"
"1DCD179D","F","BROWNHOOD"
"1DCD175E","F","ALBINO"
"1DCD1787","F","ALBINO"
"1DCD178B","F","BLACK"
"1DCD1797","F","BLACKHOOD"
"1DCD1760","F","BROWNHOOD"
"1DCD1783","F","BLACKHOOD"
"1DCD1758","F","ALBINO"
"1DCD1786","F","BLACK"
"1DCD179C","F","ALBINO"
"1DCD175B","F","BLACKHOOD"
"1DCD1755","F","BROWN"
"1DCD179E","F","BLACKHOOD"
"1DCD175A","F","BLACKHOOD"
"1DCD1759","F","ALBINO"
"1DCD1766","F","BLACKHOOD"
"1DCD1793","F","BROWN"
"1DCD17A2","F","ALBINO"
"1DCD1777","F","BLACK"
"1DCD175C","F","ALBINO"
"1DCD17AC","F","BROWNHOOD"
"1DCD1751","F","BROWN"
"1DCD176D","F","BROWNHOOD"
"1DCD1782","F","BROWNHOOD"
"1DCD176F","F","BROWNHOOD"
"1DCD178E","F","BLACKHOOD"
"1DCD1749","F","BROWNHOOD"
"1DCD1796","F","BLACKHOOD"
"1DCD1768","F","BROWNHOOD"
"1DCD17A3","M","ALBINO"
"1DCD1788","M","BLACKHOOD"
"1DCD174C","M","BLACKHOOD"
"1DCD1770","M","BROWNHOOD"
"1DCD1799","M","ALBINO"
"1DCD17A9","M","BROWNHOOD"
"1DCD1772","M","BROWN"
"1DCD1780","M","BLACK"
"1DCD177A","M","BLACKHOOD"
"1DCD17D5","M","BROWNHOOD"
"1DCD180B","M","BLACKHOOD"
"1DCD17EA","M","BROWNHOOD"
"1DCD17B0","M","BROWNHOOD"
"1DCD17AE","M","BROWN"
"1DCD17EB","M","BROWN"
"1DCD1805","M","BLACK"
"1DCD17C8","M","BROWNHOOD"
"1DCD180C","M","BLACK"
"1DCD1807","M","BROWNHOOD"
"1DCD1809","M","BLACKHOOD"
"1DCD17F7","M","BROWN"
"1DCD17C3","M","BLACK"
"85","M","NA"
"1DCD1801","M","ALBINO"
"1DCD17FA","M","BROWN"
"1DCD17B2","M","ALBINO"
