"","id_f51","cc","sex","fam_no","dob","home_cage","sire_id","dam_id","transpondernumber","sw_id","generation","ear_punch","sire_sw_id","dam_sw_id"
"158","46672_1","BLACK HOOD","F",NA,"38973",NA,"45434_1","44723_3","00068B6984","HSF124B","100","LT","HSM0038","HSF0059"
"159","44077_2","BLACK HOOD","M",NA,"38883",NA,"41454_1","41456_2","00068E2D48","HSM0101","100","RM","HSM0007","HSF0005"
"160","44194_2","BROWN HOOD","M",NA,"38868",NA,"41445_2","41452_2","00068E228C","HSM0102","100","RM","HSM0016B","HSF0001"
"161","43874_2","ALBINO","M",NA,"38886",NA,"44713_1","44712_2","00068EAEA3","HSM0103","100","RM","HSM0022","HSF0020"
"162","44079_2","BLACK HOOD","M",NA,"38883",NA,"41445_2","41460_2","00068E2A39","HSM0104","100","LT","HSM0016B","HSF0014"
"163","43875_1","BLACK","M",NA,"38883",NA,"44712_1","44711_3","00068E9E17","HSM0105","100","RT","HSM0020","HSF0002"
"164","43880_5","BROWN","M",NA,"38872",NA,"41461_1","41451_2","00068EB23C","HSM0106","100","RT","HSM0008","HSF0012"
"165","43988_2","BLACK HOOD","M",NA,"38879",NA,"41448_1","41464_2","00068E0F84","HSM0107","100","RM","HSM0019","HSF0017"
"166","43987_1","BROWN HOOD","M",NA,"38880",NA,"41447_1","41450_2","00068E3AEC","HSM0108","100","RT","HSM0006","HSF0018"
"167","44082_1","BLACK","M",NA,"38889",NA,"41464_1","41446_2","00068E246B","HSM0109","100","LT","HSM0017","HSF0015"
"168","43304_1","BROWN HOOD","M",NA,"38879",NA,"41455_1","41461_2","00068E3903","HSM0110","100","RT","HSM0010","HSF0008"
"169","44080_2","BROWN","M",NA,"38884",NA,"41453_1","41458_2","00068EB49E","HSM0111","100","LM","HSM0024","HSF0004"
"170","43873_3","BLACK HOOD","M",NA,"38886",NA,"41462_1","44714_2","00068EB409","HSM0112","100","RB","HSM0023","HSF0025"
"171","43303_2","BROWN","M",NA,"38880",NA,"41449_1","41428_2","00068E0D6E","HSM0113","100","RM","HSM0013","HSF0011"
"172","43877_2","BLACK","M",NA,"38886",NA,"44711_1","41463_2","00068E1277","HSM0114","100","RM","HSM0002","HSF0021"
"173","43986_3","BROWN","M",NA,"38880",NA,"41458_1","41448_2","000697B261","HSM0115","100","RB","HSM0004","HSF0019"
"174","43878_1","BROWN HOOD","M",NA,"38869",NA,"41451_1","41462_2","00068E1954","HSM0116","100","RT","HSM0012","HSF0023"
"175","43863_2","ALBINO","M",NA,"38870",NA,"41428_1","41457_2","00068E3C19","HSM0117","100","LM","HSM0011","HSF0009"
"176","44791_2","BLACK","M",NA,"38910",NA,"41446_1","41447_2","00068E03AE","HSM0118","100","RM","HSM0015","HSF0006"
"177","44193_4","BLACK HOOD","M",NA,"38866",NA,"41450_1","41449_2","00068E02F3","HSM0119","100","LT","HSM0018","HSF0013"
"178","43889_2","ALBINO","M",NA,"38875",NA,"41452_1","41453_2","00068E9926","HSM0120","100","RM","HSM0001","HSF0024"
"179","44780_1","BLACK HOOD","M",NA,"38935",NA,"44714_1","44764_2","00068E2ACF","HSM0121","100","RT","HSM0025","HSF0045"
"180","43879_5","BROWN","M",NA,"38872",NA,"41460_1","41455_2","00068E0AD3","HSM0122","100","LM","HSM0014","HSF0010"
"181","45595_2","BLACK","M",NA,"38947",NA,"45432_1","44717_2","00068E15BD","HSM0123","100","RM","HSM0032","HSF0027"
"182","45596_3","BLACK","M",NA,"38947",NA,"45434_1","44723_3","00068EA7AB","HSM0124","100","LT","HSM0038","HSF0059"
"183","45925_2","BROWN","M",NA,"38951",NA,"44717_1","44720_3","00068B9FF2","HSM0125","100","RM","HSM0027","HSF0057"
"184","45603_2","ALBINO","M",NA,"38963",NA,"44765_1","45436_2","00068B5B46","HSM0126","100","RM","HSM0046","HSF0042"
"185","44942_4","BLACK","M",NA,"38940",NA,"44722_1","44720_2","00068B83CF","HSM0127","100","RM","HSM0035","HSF0031"
"186","44779_3","BROWN HOOD","M",NA,"38935",NA,"44724_1","44718_2","00068B07D6","HSM0128","100","RB","HSM0039","HSF0028"
"187","47825_3","BROWN HOOD","M",NA,"39027",NA,"45438_1","44766_3","00068B031C","HSM0129","100","RB","HSM0048","HSF0061"
"188","45605_3","BLACK HOOD","M",NA,"38959",NA,"45433_3","45438_2","00068B7EF4","HSM0131","100","RT","HSM0056","HSF0048"
"189","44776_1","BLACK HOOD","M",NA,"38925",NA,"44719_1","44765_2","00068B3F4D","HSM0132","100","RT","HSM0029","HSF0046"
"190","45600_2","BROWN","M",NA,"38954",NA,"45436_1","45433_2","00068B595A","HSM0133","100","RLT","HSM0042","HSF0033"
"191","44941_3","BLACK HOOD","M",NA,"39287",NA,"44723_1","44716_2","00068B9574","HSM0134","100","RT","HSM0037","HSF0026"
"192","45599_3","BLACK HOOD","M",NA,"38978",NA,"45437_1","45432_2","00068AECFD","HSM0135","100","RB","HSM0044","HSF0032"
"193","45597_2","BLACK","M",NA,"38949",NA,"45435_1","44722_2","00068AD4AD","HSM0136","100","LT","HSM0040","HSF0035"
"194","45604_3","BLACK HOOD","M",NA,"38960",NA,"44720_1","45437_2","00068B238B","HSM0137","100","LT","HSM0031","HSF0044"
"195","46706_1","BROWN HOOD","M",NA,"38996",NA,"45433_1","44721_3","00068B732D","HSM0139","100","RT","HSM0033","HSF0058"
"196","44777_2","BROWN","M",NA,"38938",NA,"44716_1","44766_2","00068B5C17","HSM0140","100","RM","HSM0026","HSF0047"
"197","46164_2","BLACK HOOD","M",NA,"38963",NA,"41457_1","41454_2","00068B94DD","HSM0141","100","LB","HSM0009","HSF0007"
"198","45602_2","BLACK","M",NA,"38962",NA,"44766_1","45435_2","00068B6E3A","HSM0142","100","LT","HSM0047","HSF0040"
"199","44775_4","BLACK HOOD","M",NA,"38925",NA,"44718_1","44721_2","00068BA51B","HSM0143","100","LT","HSM0028","HSF0034"
"200","46248_2","BROWN HOOD","M",NA,"38967",NA,"41463_1","44713_2","00068B94A6","HSM0144","100","RM","HSM0021","HSF0022"
"201","46680_1","BLACK","M",NA,"38985",NA,"41456_1","41459_2","00068B8013","HSM0145","100","RT","HSM0005","HSF0003"
"202","46704_1","BLACK HOOD","M",NA,"38988",NA,"44764_1","44724_3","00068B9112","HSM0146","100","RT","HSM0045","HSF0060"
"203","44774_7","BROWN","M",NA,"38926",NA,"44721_1","44719_2","00068B9379","HSM0130","100","RM","HSM0034","HSF0029"
"204","44778_5","BROWN HOOD","M",NA,"38933",NA,"44711_2","44723_2","00068BA2F9","HSM0138","100","RT","HSM0002B","HSF0037"
"205","43873_4","BLACK HOOD","F",NA,"38886",NA,"41462_1","44714_2","00068E8F61","HSF0112","100","LT","HSM0023","HSF0025"
"206","44774_8","BROWN","F",NA,"38926",NA,"44721_1","44719_2","00068B2273","HSF0130","100","LT","HSM0034","HSF0029"
"207","44778_6","BLACK HOOD","F",NA,"38933",NA,"44711_2","44723_2","00068B2AB0","HSF0138","100","RM","HSM0002B","HSF0037"
"208","46692_4","BLACK HOOD","F",NA,"38991",NA,"44077_2","44194_1","000696CEF3","HSF0201","200","LT","HSM0101","HSF0102"
"209","46693_4","BLACK HOOD","F",NA,"38991",NA,"44194_2","43874_1","000696BFAF","HSF0202","200","LB","HSM0102","HSF0103"
"210","46694_4","BLACK HOOD","F",NA,"38991",NA,"43874_2","44079_3","6960054","HSF0203","200","LC","HSM0103","HSF0104"
"211","46695_4","BROWN","F",NA,"38991",NA,"44079_2","43875_2","000696FCD1","HSF0204","200","RLM","HSM0104","HSF0105"
"212","46696_4","BLACK HOOD","F",NA,"39000",NA,"43875_1","43880_6","000696DF35","HSF0205","200","RM","HSM0105","HSF0106"
"213","46697_4","ALBINO","F",NA,"38998",NA,"43880_5","43988_1","000696BB9B","HSF0206","200","LT","HSM0106","HSF0107"
"214","46698_4","BLACK HOOD","F",NA,"39013",NA,"43988_2","43987_2","000696BBDD","HSF0207","200","LT","HSM0107","HSF0108"
"215","46699_4","BROWN HOOD","F",NA,"39001",NA,"43987_1","44082_2","000696DED5","HSF0208","200","LB","HSM0108","HSF0109"
"216","46700_4","BLACK","F",NA,"39010",NA,"44082_1","43304_2","000696C635","HSF0209","200","RM","HSM0109","HSF0110"
"217","46701_4","BROWN","F",NA,"39008",NA,"43304_1","44080_1","000696D27D","HSF0210","200","LT","HSM0110","HSF0111"
"218","46702_4","ALBINO","F",NA,"39008",NA,"44080_2","43873_4","6.9599999999999997E+61","HSF0211","200","LB","HSM0111","HSF0112"
"219","46703_4","BLACK HOOD","F",NA,"39010",NA,"43873_3","43303_1","000696AA3A","HSF0212","200","LT","HSM01120","HSF0113"
"220","46969_4","BROWN","F",NA,"39027",NA,"43303_2","43877_1","000696C6CC","HSF0213","200","LB","HSM0113","HSF0114"
