"rfid","project_name","dames","sires"
"933000320047778","u01_tom_jhou","73156_2","73411_2"
"933000320046371","u01_tom_jhou","73398_1","73151_1"
"933000320047450","u01_tom_jhou","73733_2","73731_1"
"933000320047430","u01_tom_jhou","73667_2","73737_1"
"933000320047399","u01_tom_jhou","73705_2","73735_1"
"933000320047445","u01_tom_jhou","73723_2","73667_1"
"933000320047395","u01_tom_jhou","73747_2","73740_1"
"933000320046304","u01_tom_jhou","72907_2","72979_1"
"933000320046315","u01_tom_jhou","72907_2","72979_1"
"933000320047429","u01_tom_jhou","73718_2","73745_1"
"933000320047396","u01_tom_jhou","73670_2","73770_1"
"933000120138554","u01_tom_jhou","72503_2","72446_5"
"933000320047439","u01_tom_jhou","73804_1","73692_1"
"933000320047792","u01_tom_jhou","73208_2","73175_1"
"933000120138431","u01_tom_jhou","72341_2","72386_2"
"933000320047796","u01_tom_jhou","73169_2","73398_2"
"933000320047398","u01_tom_jhou","73783_2","73878_1"
"933000320047433","u01_tom_jhou","73667_2","73737_1"
"933000320046319","u01_tom_jhou","72907_2","72979_1"
"933000320046358","u01_tom_jhou","73345_2","73327_2"
"933000120138507","u01_tom_jhou","72591_6","72595_4"
"933000320047787","u01_tom_jhou","73692_2","73728_1"
"933000120138513","u01_tom_jhou","72690_2","72650_1"
"933000320047391","u01_tom_jhou","73768_2","73675_1"
"933000320047394","u01_tom_jhou","73670_2","73770_1"
"933000120138521","u01_tom_jhou","72541_5","72689_1"
"933000320047448","u01_tom_jhou","73668_2","73768_1"
"933000320047751","u01_tom_jhou","73207_2","73171_1"
"933000320046320","u01_tom_jhou","72871_1","72952_1"
"933000320047380","u01_tom_jhou","73705_2","73735_1"
"933000320047389","u01_tom_jhou","73747_2","73740_1"
"933000320047441","u01_tom_jhou","73673_2","73722_1"
